,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,51.0,54.0,52.0,78.0,45.0,65.0,58.0,42.0,53.0,47.0,52.0,40.0,180.0,55.0,60.0,59.0,45.0,54.0,47.0,44.0,50.0,51.0,58.0,43.0,75.0,62.0,39.0,44.0,39.0,145.0,44.0,40.0,38.0,35.0,86.0,96.0,59.0,96.0,78.0,46.0,51.0,45.0,40.0,47.0,56.0,46.0,45.0,53.0,48.0,47.0,42.0,45.0,41.0,43.0,42.0,44.0,65.0,52.0,60.0,62.0,45.0,48.0,47.0,49.0,48.0,317.0,83.0,63.0,50.0,54.0,70.0,61.0,70.0,66.0,100.0,62.0,50.0,48.0,56.0,95.0,54.0,64.0,61.0,52.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,49.0,53.0,50.0,74.0,48.0,68.0,62.0,52.0,53.0,47.0,55.0,41.0,239.0,56.0,61.0,55.0,42.0,57.0,47.0,41.0,48.0,51.0,60.0,42.0,78.0,63.0,42.0,45.0,45.0,178.0,51.0,47.0,44.0,41.0,93.0,149.0,66.0,111.0,98.0,49.0,56.0,49.0,41.0,49.0,58.0,50.0,51.0,54.0,46.0,47.0,41.0,46.0,44.0,45.0,42.0,46.0,66.0,59.0,74.0,85.0,43.0,45.0,48.0,45.0,46.0,318.0,93.0,64.0,44.0,51.0,81.0,67.0,84.0,86.0,114.0,77.0,52.0,49.0,56.0,118.0,55.0,68.0,57.0,53.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0
2,53.0,58.0,53.0,77.0,49.0,74.0,68.0,64.0,56.0,47.0,58.0,42.0,310.0,64.0,74.0,63.0,45.0,63.0,49.0,44.0,55.0,57.0,64.0,42.0,100.0,71.0,43.0,46.0,48.0,222.0,54.0,51.0,49.0,44.0,92.0,156.0,80.0,132.0,125.0,52.0,60.0,52.0,45.0,52.0,64.0,48.0,49.0,55.0,51.0,52.0,44.0,52.0,50.0,50.0,46.0,55.0,76.0,65.0,84.0,99.0,43.0,46.0,52.0,48.0,50.0,341.0,109.0,83.0,51.0,59.0,90.0,71.0,89.0,92.0,126.0,89.0,53.0,52.0,58.0,142.0,61.0,79.0,58.0,53.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0
3,55.0,62.0,57.0,82.0,52.0,80.0,74.0,73.0,60.0,49.0,60.0,43.0,321.0,64.0,73.0,63.0,49.0,73.0,51.0,45.0,59.0,61.0,65.0,43.0,99.0,70.0,45.0,44.0,49.0,220.0,56.0,50.0,51.0,46.0,100.0,164.0,86.0,136.0,142.0,51.0,57.0,52.0,50.0,51.0,66.0,49.0,51.0,61.0,57.0,56.0,46.0,57.0,54.0,52.0,47.0,57.0,78.0,67.0,93.0,122.0,48.0,49.0,53.0,48.0,52.0,363.0,121.0,89.0,51.0,56.0,93.0,84.0,102.0,101.0,137.0,101.0,56.0,54.0,58.0,162.0,63.0,80.0,61.0,58.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4,55.0,59.0,52.0,75.0,48.0,80.0,77.0,74.0,58.0,47.0,56.0,41.0,390.0,71.0,78.0,63.0,46.0,67.0,47.0,43.0,55.0,55.0,64.0,42.0,117.0,78.0,49.0,48.0,55.0,268.0,60.0,55.0,55.0,44.0,96.0,148.0,91.0,143.0,163.0,53.0,60.0,55.0,53.0,54.0,70.0,52.0,50.0,60.0,55.0,54.0,45.0,58.0,53.0,51.0,47.0,59.0,80.0,70.0,94.0,123.0,49.0,49.0,56.0,49.0,51.0,358.0,132.0,96.0,52.0,57.0,92.0,82.0,112.0,108.0,149.0,115.0,59.0,57.0,60.0,175.0,70.0,84.0,55.0,58.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0
5,55.0,61.0,56.0,80.0,52.0,86.0,83.0,78.0,59.0,46.0,56.0,41.0,404.0,75.0,81.0,66.0,50.0,74.0,50.0,45.0,59.0,59.0,64.0,41.0,122.0,80.0,50.0,48.0,59.0,263.0,57.0,54.0,55.0,44.0,104.0,156.0,82.0,133.0,164.0,53.0,61.0,56.0,56.0,53.0,71.0,52.0,52.0,65.0,59.0,57.0,47.0,60.0,56.0,53.0,47.0,62.0,79.0,70.0,103.0,141.0,48.0,50.0,54.0,48.0,51.0,362.0,144.0,102.0,52.0,58.0,102.0,88.0,112.0,109.0,152.0,120.0,59.0,57.0,56.0,169.0,69.0,88.0,56.0,59.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
