od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.04	nan	nan	102.57894736842105	nan	nan	nan	nan	nan	nan	nan	89.97894736842106	87.86666666666667	103.03478260869565	101.88235294117646	nan	95.69565217391306	96.0	97.0	99.66666666666667	93.9090909090909	91.79220779220779	88.17948717948717	nan	79.43269230769229	101.25	94.5	134.82608695652172	97.48453608247422	95.28571428571429	94.21739130434784	93.8433734939759	95.32307692307693	99.2	85.90476190476191	83.88461538461539	89.51456310679613	nan	nan	nan	nan	nan	nan	nan	nan	nan	88.61538461538461	87.52173913043478	nan	89.25	88.99999999999997	nan	88.0	nan	nan	nan	nan	nan	97.6341463414634	nan	nan	90.33333333333334	nan	94.0	90.0	90.0	89.0	89.49999999999999	89.0	85.20833333333334	nan	89.0	83.62886597938146	102.78494623655914	86.24999999999999	86.87499999999999	83.4	91.3012048192771	88.62025316455694	83.39344262295081	83.61666666666667	89.23437499999999	90.14285714285715	75.02830188679246	83.92	nan	nan	nan	87.0	88.34939759036145	nan	nan	nan	82.9240506329114	nan	nan	77.10000000000002
0.06	135.0	117.56338028169014	60.47368421052633	91.88505747126436	99.16883116883116	104.74074074074073	127.70175438596492	112.11764705882352	105.91428571428571	99.0	89.43478260869566	nan	104.83333333333334	93.3731343283582	111.0	229.93150684931504	99.34567901234568	81.05194805194805	118.0493827160494	109.67901234567901	74.16216216216216	156.0	192.38235294117646	88.37662337662339	125.7605633802817	194.55172413793102	495.5774647887324	128.16438356164383	93.375	96.0	92.29850746268657	213.63636363636363	196.99999999999997	97.95	134.20000000000002	223.55555555555554	178.73913043478257	91.4054054054054	125.28048780487805	148.15384615384613	110.21518987341773	113.22972972972974	121.41379310344827	48.459999999999994	127.73170731707316	86.0	110.88888888888889	111.40259740259741	108.51764705882353	92.65306122448979	144.632183908046	137.06493506493507	114.66666666666667	119.56976744186046	78.87323943661971	130.38961038961037	101.61290322580645	168.53521126760563	125.57500000000002	99.78873239436619	55.54545454545454	79.9054054054054	61.65714285714286	112.8840579710145	359.15189873417717	81.36111111111111	91.38571428571429	88.74647887323943	96.00000000000001	153.71641791044775	106.35135135135135	75.79220779220779	82.81818181818181	66.58490566037736	87.88235294117648	43.4	177.59090909090907	61.824175824175825	45.18181818181818	67.01999999999998	112.09230769230768	199.85714285714283	51.99999999999999	90.42857142857143	103.0	98.67532467532467	90.0	114.89411764705883	109.30232558139535	90.921875	103.0	117.79710144927536	105.52564102564102	74.65217391304347	119.64179104477611	130.1089108910891
0.08	172.90298507462688	141.50393700787401	74.7433628318584	90.53846153846153	105.14084507042254	113.87755102040816	156.87943262411346	141.40625	129.53146853146853	117.05	97.41818181818182	nan	110.58273381294964	99.46153846153845	111.68789808917197	326.6417112299465	100.94059405940594	75.54255319148936	138.79012345679013	141.35099337748346	70.22826086956522	216.77297297297298	308.95348837209303	91.4564315352697	163.5	301.17391304347825	831.8670520231215	148.32258064516128	91.18604651162791	91.0	87.6938775510204	305.0860927152318	299.3469387755102	103.38150289017341	172.21387283236996	329.45714285714286	235.375	96.75	149.62	193.55474452554745	115.97163120567376	119.0220588235294	144.136	67.36734693877551	156.38775510204084	88.37373737373738	127.4	131.64285714285714	121.94047619047619	110.39370078740158	180.73291925465838	177.86516853932585	121.15172413793104	139.03076923076924	76.10691823899371	162.45222929936307	114.7248322147651	246.83969465648858	147.2910447761194	115.7	83.12765957446808	83.17241379310346	58.37931034482759	125.92810457516342	654.8813559322034	78.37007874015748	93.96899224806202	92.16363636363637	92.96894409937887	235.3508771929825	123.92857142857144	74.43426294820716	76.76923076923077	71.12903225806451	105.49723756906077	54.61538461538461	258.1864406779661	55.356725146198826	58.69662921348315	157.46408839779008	152.5985401459854	326.145945945946	75.6470588235294	101.15573770491804	108.81481481481482	113.0	85.32520325203252	129.52325581395348	125.71186440677967	89.85585585585586	116.1741935483871	158.20661157024793	119.79374999999999	75.57851239669421	170.77707006369425	187.26666666666668
0.1	237.10126582278482	181.0	97.62068965517241	106.0	132.63473053892216	132.1086956521739	191.07784431137725	171.95000000000002	158.62790697674419	139.57142857142858	112.38862559241707	nan	137.5103448275862	120.26506024096386	140.2112676056338	435.02362204724415	118.70183486238534	87.51428571428572	179.22727272727272	186.25263157894736	82.3777777777778	285.5592417061612	451.67368421052635	104.7344398340249	226.69172932330827	425.75000000000006	1177.909090909091	191.1413612565445	105.19672131147541	103.71270718232046	102.55555555555557	392.2336448598131	373.1170212765958	119.93700787401576	217.24489795918367	416.6	349.4375	118.77551020408164	199.9746835443038	244.54225352112678	137.81250000000003	140.70689655172413	185.6818181818182	87.5	187.6030150753769	105.69060773480663	147.46288209606988	158.37228260869566	146.04379562043795	136.39444444444445	232.37125748502996	215.21176470588233	142.11731843575419	176.0	84.70121951219514	196.25333333333333	153.77456647398844	321.8029556650246	181.73142857142858	133.00306748466258	118.5	101.22085889570553	72.4814814814815	156.10599078341016	999.9411764705883	92.50236966824646	112.7182320441989	113.53591160220995	108.81057268722468	349.75376884422116	153.12068965517244	82.40239043824701	93.44615384615386	89.578125	141.6029411764706	67.2920353982301	349.6666666666667	66.74358974358975	75.25142857142858	180.88627450980394	206.35638297872345	469.11428571428576	94.56	123.66666666666669	133.80246913580248	136.44444444444446	101.73076923076923	164.21192052980135	166.25153374233128	104.45454545454545	134.09677419354838	208.375	146.8394160583942	94.00662251655629	221.59090909090912	256.28
0.12	276.59999999999997	209.97196261682245	116.22553191489361	119.05841924398625	152.19292604501607	142.53024911032026	214.25783972125436	199.2919254658385	174.90697674418607	153.85714285714283	121.0	nan	154.97368421052633	141.97014925373134	173.66666666666666	521.4462365591398	135.6026490066225	102.97212543554006	211.93258426966293	220.90095846645366	95.4296577946768	352.0	592.7528089887641	118.58933333333333	279.95953757225436	516.9943502824858	1462.5059760956174	223.4508474576271	118.07266435986159	125.013986013986	117.98617511520737	446.50887573964496	440.15	134.53097345132744	262.14285714285717	492.40425531914894	450.4854368932038	133.1336405529954	244.63636363636363	294.0	159.29032258064515	160.14736842105265	212.6951219512195	102.45652173913044	214.79057591623035	123.25448028673836	166.8490566037736	177.39402173913044	168.2037037037037	155.0	268.9017341040462	248.24861878453038	160.17703349282294	197.64179104477614	98.06666666666666	224.43401759530792	186.5	393.146017699115	209.41379310344826	148.48010610079575	152.05555555555554	121.45528455284554	91.86746987951807	175.42164179104478	1310.051282051282	106.1923076923077	127.51724137931035	132.14814814814815	125.96899224806202	455.8421052631579	178.6388888888889	93.6730769230769	110.66666666666666	104.84146341463413	183.70408163265304	77.02654867256638	435.99999999999994	80.87351778656127	87.38829787234042	205.98431372549018	264.64673913043475	577.3519553072625	109.25966850828729	143.0211267605634	151.18556701030928	155.33333333333334	119.196	185.72680412371133	192.12811387900354	121.66891891891892	148.26760563380282	248.04152249134947	154.87622149837134	106.3125	274.68619246861925	300.77777777777777
0.14	301.9333333333334	227.41142857142856	136.40243902439025	127.67484662576686	163.76848874598073	148.93594306049823	232.3346613545817	215.61077844311376	186.5527950310559	164.02250803858522	125.76190476190477	nan	163.8673139158576	150.92537313432837	185.97864768683274	575.023890784983	144.87417218543047	109.2439024390244	236.65168539325845	243.26517571884983	105.54150197628458	397.4545454545455	725.3370786516855	132.03067484662577	323.4411764705883	575.0544871794872	1706.8246753246754	246.50169491525423	128.0727969348659	138.48815165876778	127.22265625	491.47928994082844	498.20183486238534	143.38053097345133	296.47564469914045	563.7990543735225	535.8333333333334	140.14324324324323	274.24031007751944	330.26229508196724	178.27956989247312	170.13147410358567	240.7161290322581	121.4	241.17647058823533	135.44086021505376	184.33333333333331	192.15342465753423	178.43014705882354	168.74267100977198	293.9366515837104	275.046511627907	175.00719424460434	219.5551330798479	108.95636363636363	238.51026392961882	213.23364485981313	468.3672566371682	227.86206896551727	158.0291777188329	187.7887323943662	131.27731092436977	104.63451776649747	183.6305970149254	1581.8461538461538	117.92000000000002	138.31186440677965	144.3030303030303	133.72093023255815	560.0791139240507	200.24382716049385	104.16473988439307	120.31578947368422	114.89323843416372	215.73188405797103	87.47368421052633	496.3537735849057	91.1501976284585	97.45508982035929	232.7294117647059	307.6728110599079	673.5687732342008	121.96685082872929	158.7777777777778	164.2925170068027	168.22816901408453	129.596	200.63917525773198	211.21107266435988	129.10135135135135	154.6056338028169	275.0311418685121	161.71955719557195	117.05607476635515	320.9112426035503	337.9530685920578
0.16	326.3288590604027	243.98916967509024	156.15384615384616	132.58282208588957	174.14886731391584	156.8	246.0874524714829	236.77464788732397	197.85714285714283	174.30882352941177	133.2756183745583	nan	172.69827586206895	156.6013071895425	202.32258064516128	633.1898734177215	154.340206185567	117.34361233480178	266.49367088607596	269.02661596958177	113.44664031620555	442.1694352159468	882.1666666666667	141.84662576687117	350.5	641.0142857142857	1928.9025974025976	272.7136563876652	135.73563218390805	148.6470588235294	138.94140625	543.340909090909	559.5	152.05194805194805	328.6147859922179	642.9272151898736	594.1666666666666	146.1404255319149	305.2480620155039	361.8503937007874	193.4519774011299	184.79775280898875	269.20879120879124	139.79310344827587	263.2707182320442	152.7357512953368	197.66666666666669	202.56438356164387	188.41333333333336	179.16612377850163	320.4166666666667	298.35406698564594	190.60621761658032	240.87012987012986	119.39999999999999	260.4230769230769	250.60638297872342	547.4122448979591	246.3969849246231	168.6642857142857	236.04761904761907	138.0	112.37096774193549	194.32432432432432	1854.744360902256	129.89090909090908	146.4439461883408	156.5618556701031	143.78947368421052	661.9778481012657	219.8292682926829	112.83526011560693	128.51515151515153	122.78125	236.7463768115942	99.01785714285715	556.3811659192825	98.5126050420168	111.12738853503183	262.78787878787875	350.0536585365853	750.3055555555555	132.35359116022101	171.47619047619048	171.77551020408166	177.24225352112677	139.7170542635659	214.00735294117646	228.51211072664358	136.88	165.8955223880597	304.8561403508772	173.52767527675277	125.77881619937695	359.96449704142015	372.08076923076925
0.18	351.96385542168673	260.5956678700361	187.41121495327104	142.80357142857142	185.53356890459364	166.26778242677824	262.8174904942966	294.51724137931035	212.21596244131456	188.82758620689654	142.13253012048193	nan	182.90090090090092	163.41463414634146	223.1384615384615	697.2556053811659	164.06463878326997	126.2	293.4109589041096	297.1857707509881	123.63730569948186	488.6953125	1064.7522935779816	151.18	380.2954545454545	718.4925373134329	2199.3777777777777	298.16806722689074	146.10909090909092	159.39473684210526	146.8423645320197	600.7989949748744	628.2489626556016	161.34597156398104	361.29961089494157	727.2619047619047	657.2748091603053	155.50212765957446	337.4635193133047	407.66115702479334	210.72185430463577	199.34	305.58064516129025	162.32	291.4777070063694	170.3478260869565	211.6694560669456	219.50387596899225	201.47777777777776	192.5276595744681	354.13461538461536	326.45652173913044	207.90526315789472	260.8181818181818	132.6797385620915	283.66511627906976	288.25531914893617	629.8793103448274	270.5333333333333	182.23571428571427	308.0645161290322	150.28070175438597	123.4140127388535	210.8780487804878	2166.887445887446	141.8571428571429	154.51569506726457	171.3782383419689	155.39459459459457	793.3663366336633	239.16438356164383	120.98039215686273	134.57575757575756	129.03125	263.2264150943396	116.17475728155338	619.2358974358974	108.59036144578313	127.43548387096774	313.0377358490566	392.92857142857144	837.3425925925926	142.58474576271186	184.3626062322946	181.6198347107438	189.56756756756758	150.79802955665025	229.4485294117647	245.68773234200745	145.72767857142858	177.0552995391705	338.88461538461536	194.57142857142856	135.28915662650604	404.8017621145374	405.9939393939394
