,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.39847,0.39371,0.38177,0.36336,0.37679,0.39924,0.34467,0.36257,0.36032,0.33937,0.21065,0.37971,0.36636,0.34837,0.3518,0.36478,0.3628,0.35001,0.3027,0.35343,0.35987,0.35437,0.36499,0.17843,0.2883,0.36999,0.38106,0.38019,0.36221,0.34213,0.34642,0.36244,0.38334,0.35136,0.39335,0.40249,0.37539,0.3776,0.37922,0.37241,0.36973,0.35382,0.41795,0.34992,0.36085,0.37333,0.35721,0.39387,0.41828,0.4102,0.39997,0.38642,0.38918,0.37218,0.33499,0.35752,0.36632,0.34027,0.37275,0.37538,0.39995,0.38429,0.35408,0.34265,0.39478,0.34677,0.33757,0.32075,0.32536,0.33995,0.37476,0.3768,0.37186,0.35966,0.17118,0.36341,0.34117,0.35323,0.36767,0.33714,0.32631,0.3643,0.38948,0.34518,0.10547,0.10271,0.10376,0.10232,0.10289,0.10271,0.10192,0.10467,0.1045,0.10429,0.10417,0.10525
1,0.4266,0.41825,0.40895,0.40977,0.4229,0.4359,0.39526,0.40331,0.40711,0.37939,0.23658,0.39606,0.38729,0.37972,0.38976,0.40431,0.40484,0.40355,0.36074,0.38905,0.41413,0.41136,0.41808,0.15506,0.3175,0.39177,0.40631,0.40621,0.39023,0.3787,0.39856,0.40637,0.42528,0.41698,0.4264,0.43013,0.39324,0.40705,0.41582,0.41642,0.41785,0.4083,0.44548,0.4091,0.41678,0.41993,0.40714,0.42219,0.44008,0.43949,0.43741,0.42016,0.41882,0.4076,0.38386,0.41388,0.42318,0.39826,0.41256,0.41747,0.41471,0.40023,0.38933,0.38137,0.43461,0.40649,0.39545,0.38243,0.38596,0.39909,0.41011,0.43283,0.39813,0.39999,0.20223,0.40862,0.39099,0.40384,0.40447,0.39009,0.37867,0.40938,0.42781,0.37599,0.10491,0.10236,0.10339,0.10194,0.10249,0.10257,0.10165,0.10434,0.10409,0.10399,0.10378,0.10472
2,0.45092,0.43606,0.42357,0.41811,0.43039,0.44228,0.40923,0.40894,0.41833,0.39198,0.25726,0.4035,0.41331,0.40892,0.41995,0.42942,0.42104,0.41017,0.38166,0.38993,0.41652,0.41346,0.43565,0.1437,0.35612,0.4207,0.43982,0.43718,0.42725,0.4172,0.41671,0.421,0.43538,0.42008,0.43939,0.44257,0.42646,0.43763,0.44467,0.44214,0.43854,0.429,0.4626,0.42298,0.42803,0.42928,0.42717,0.43985,0.46338,0.46604,0.45398,0.43392,0.4353,0.42249,0.39847,0.41817,0.42799,0.40534,0.4379,0.43375,0.43843,0.42653,0.42141,0.41007,0.45251,0.42426,0.40774,0.39182,0.39145,0.417,0.4476,0.46517,0.42564,0.4259,0.21747,0.41841,0.39812,0.41191,0.41406,0.39797,0.38939,0.42545,0.44595,0.39739,0.10506,0.10239,0.10352,0.10206,0.10264,0.10282,0.10178,0.1044,0.1041,0.10398,0.10392,0.10462
3,0.48143,0.46068,0.45305,0.45118,0.46172,0.46242,0.43824,0.44282,0.45206,0.43167,0.29227,0.43952,0.44245,0.44782,0.45706,0.46273,0.45948,0.44739,0.4249,0.42355,0.44425,0.44004,0.46057,0.14722,0.38642,0.43859,0.459,0.45239,0.44005,0.4317,0.44028,0.44881,0.46042,0.44928,0.45461,0.47049,0.44133,0.45209,0.45691,0.45474,0.45565,0.44652,0.47994,0.44884,0.45517,0.463,0.45231,0.46101,0.48049,0.48468,0.48132,0.44991,0.44974,0.441,0.41952,0.44246,0.4564,0.44002,0.4521,0.45488,0.46052,0.44725,0.44799,0.43882,0.47131,0.45413,0.44554,0.43239,0.43542,0.46747,0.46475,0.50621,0.46769,0.45618,0.23678,0.44819,0.42344,0.44147,0.44631,0.43128,0.41215,0.45573,0.48249,0.42383,0.10466,0.10224,0.10329,0.10183,0.10239,0.10279,0.10145,0.10393,0.10389,0.10406,0.10367,0.10428
4,0.4909,0.46993,0.46819,0.47576,0.49285,0.48919,0.46785,0.4564,0.46493,0.44611,0.32143,0.45754,0.46537,0.46159,0.47583,0.47966,0.47261,0.46071,0.43749,0.43497,0.45758,0.45715,0.48313,0.1444,0.4262,0.46446,0.48701,0.48058,0.46836,0.45937,0.46083,0.46978,0.48552,0.46816,0.47112,0.5065,0.47796,0.4873,0.49662,0.49432,0.49133,0.48599,0.50099,0.47312,0.4812,0.48431,0.47532,0.49731,0.50572,0.51315,0.50925,0.47468,0.47549,0.46409,0.44346,0.46115,0.47777,0.45417,0.46626,0.49516,0.48838,0.47078,0.4725,0.46073,0.48844,0.47288,0.46279,0.44545,0.44953,0.48428,0.49308,0.54803,0.48766,0.47451,0.25131,0.46655,0.44849,0.46215,0.45551,0.44518,0.43378,0.46999,0.49085,0.45183,0.10483,0.10235,0.10328,0.10194,0.10244,0.1033,0.10157,0.1037,0.10391,0.10381,0.10371,0.10428
5,0.52143,0.50812,0.5082,0.51143,0.52164,0.51018,0.49463,0.48561,0.49075,0.47082,0.34751,0.48146,0.4922,0.49879,0.51038,0.5133,0.51058,0.49796,0.4699,0.46723,0.49667,0.49553,0.5203,0.14261,0.43787,0.47356,0.50042,0.4965,0.48676,0.47422,0.47861,0.48353,0.50037,0.49074,0.50339,0.52417,0.49509,0.50334,0.52028,0.51959,0.52168,0.50808,0.5265,0.50215,0.50552,0.51122,0.50653,0.51354,0.52489,0.53705,0.53107,0.49668,0.50208,0.49232,0.47869,0.49402,0.51134,0.48808,0.50037,0.51112,0.51623,0.50363,0.50551,0.49238,0.51846,0.50608,0.49738,0.47595,0.47661,0.51891,0.52299,0.57571,0.51859,0.49667,0.26315,0.49577,0.47837,0.48488,0.47583,0.47388,0.46797,0.4986,0.52338,0.47569,0.10484,0.10228,0.10327,0.10193,0.10234,0.10322,0.10158,0.10337,0.10385,0.1037,0.1036,0.10413
6,0.53662,0.52442,0.51948,0.53244,0.5397,0.5289,0.5223,0.51676,0.53053,0.51161,0.36896,0.50711,0.51402,0.51643,0.53226,0.53702,0.5342,0.51851,0.49157,0.48825,0.51882,0.5138,0.54194,0.14117,0.4876,0.51217,0.53431,0.52509,0.51629,0.50594,0.50783,0.51575,0.53154,0.51341,0.52669,0.55133,0.52516,0.53404,0.54984,0.54858,0.55168,0.53432,0.55167,0.529,0.53285,0.53776,0.5424,0.54254,0.54705,0.56244,0.54646,0.51458,0.52071,0.51146,0.4961,0.51167,0.52789,0.50818,0.53513,0.53591,0.52602,0.51488,0.52272,0.51523,0.54531,0.5336,0.52492,0.51402,0.51139,0.5617,0.56508,0.6134,0.52824,0.51617,0.26726,0.51375,0.49113,0.50157,0.50068,0.50304,0.49602,0.52652,0.53931,0.50314,0.10493,0.10226,0.10321,0.10202,0.10242,0.10311,0.10152,0.10323,0.10377,0.10359,0.10367,0.10413
7,0.56248,0.55439,0.55295,0.55842,0.56937,0.55849,0.56066,0.54996,0.56207,0.53874,0.38849,0.53973,0.53823,0.54882,0.56278,0.56983,0.56821,0.55145,0.53092,0.52851,0.55135,0.54604,0.57458,0.14316,0.49775,0.52745,0.55212,0.54556,0.54149,0.53617,0.53863,0.54509,0.55612,0.54456,0.54881,0.5751,0.54965,0.55822,0.57245,0.57277,0.57638,0.56192,0.57595,0.55438,0.5569,0.56206,0.56178,0.56438,0.56625,0.58776,0.56918,0.54511,0.54283,0.54319,0.53364,0.54463,0.56086,0.54599,0.55314,0.56167,0.55388,0.54636,0.5549,0.5458,0.57514,0.56842,0.55413,0.53612,0.54578,0.59608,0.58762,0.64939,0.55824,0.54354,0.27151,0.53977,0.52283,0.53474,0.52553,0.52564,0.51141,0.54788,0.56931,0.5225,0.10479,0.10223,0.1032,0.10195,0.10229,0.10311,0.10157,0.1029,0.10361,0.10372,0.10364,0.10399
