od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.04	81.69081574443811	87.3484602917342	85.81794871794872	87.05360443622921	87.33333333333333	84.14834205933683	86.10162162162163	88.21664994984955	87.22784810126582	87.2	85.18345864661653	76.15384615384616	nan	95.85574837310196	104.75	98.33333333333337	101.00000000000001	nan	104.33333333333337	nan	nan	nan	nan	nan	102.62499999999997	98.81168831168831	104.06304493628434	98.8695652173913	100.54545454545453	101.66666666666666	101.16700749829583	104.39603960396039	101.51912928759894	100.35046113306981	101.48924122310305	98.16438356164385	nan	87.00000000000003	95.292	93.50000000000003	nan	104.0	100.3333333333334	96.3333333333334	91.80000000000005	99.18611670020121	nan	106.0	nan	nan	103.97354497354497	110.91166936790923	108.27238525206921	106.71827613727055	109.78165503489532	110.55371900826447	109.3220675944334	102.39912917271408	107.51696284329564	nan	104.0	107.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	96.40697674418604	99.92743607463719	102.50395569620252	99.37067337948396	105.25827814569537	112.14023372287147	91.66666666666667	100.3520782396088	101.17741935483872	98.13213885778275	nan	102.97906602254429	98.00920245398774	nan	nan	nan	103.20636152055857	95.48350515463919	nan	104.24684431977559	100.52549019607842	95.73809523809524	nan	nan	nan
0.06	109.87107815173988	104.20421393841167	105.94615384615386	108.86506469500924	106.0	100.55322862129144	103.61513513513513	105.26780341023068	105.79324894514767	106.55839822024473	117.36390977443608	nan	125.66972945380296	124.38069414316703	115.74226804123711	110.02648083623693	108.07789317507418	124.56515151515151	115.45037593984964	108.9494561740243	130.29268292682926	104.69397116644822	106.76764869371874	100.2331081081081	121.74293333333333	116.84920634920636	407.2152917505029	111.30871369294607	130.8292682926829	169.2073170731707	159.5173824130879	135.4191419141914	144.92282321899737	110.36363636363637	113.72027180067951	109.12328767123287	75.91325811001408	100.27700663850332	105.02533333333332	102.29875518672199	95.15181518151815	111.8137417218543	103.54929577464789	102.62373505059797	104.30434782608695	106.6307847082495	102.99411269974769	109.81163251817581	113.67605633802816	103.39568345323741	123.44444444444444	123.06726094003241	121.66591422121896	118.68954509177973	120.94815553339981	136.44903581267218	128.20874751491056	118.36429608127722	117.8562197092084	100.23250807319698	145.28060956384655	113.09766925638179	49.835925349922235	74.90767141887305	54.36874999999999	98.11290322580645	69.1312292358804	76.14033366045143	52.815602836879435	74.09472259810553	74.65671641791045	108.03488372093022	116.78991015894955	116.90268987341773	129.83008181246066	125.78807947019867	221.98998330550916	110.25575447570333	119.66748166259168	115.89516129032258	123.21612541993281	117.21405750798723	127.45571658615137	126.84355828220859	107.57532689027856	167.08038585209002	157.91033925686588	139.9790535298681	140.6381443298969	123.8835257082896	122.05890603085552	136.60392156862744	112.14021164021165	127.32681867535288	120.6024423337856	95.94606741573033
0.08	138.05134055904165	121.05996758508914	126.07435897435897	130.67652495378928	124.66666666666666	116.95811518324606	121.12864864864864	122.31895687061183	124.35864978902953	129.69521690767522	149.54436090225562	nan	155.5829504849413	152.9056399132321	127.42611683848799	122.98815331010452	120.09569732937685	151.53484848484848	128.83383458646617	119.95393474088291	164.4390243902439	112.42660550458716	121.1089494163424	112.05743243243245	142.64960000000002	134.88672438672438	710.3675385647216	124.42074688796681	165.28048780487808	238.71951219512198	217.86775732788004	166.44224422442244	188.32651715039577	120.37681159420289	125.95130237825593	120.08219178082192	122.598730606488	113.55401327700665	114.75866666666667	110.59751037344398	102.41254125412541	123.56870860927154	111.06103286384976	109.24747010119596	115.6086956521739	114.07545271629779	110.05887300252314	118.53602115003306	126.35211267605634	114.90647482014388	142.9153439153439	135.2228525121556	135.0594431903687	130.66081404628892	132.1146560319043	162.3443526170799	147.09542743538768	134.32946298984035	128.19547657512118	106.69106566200216	191.1029952706253	125.19533851276361	63.98833592534993	83.59742023082146	73.74375	109.51075268817203	77.93521594684385	89.09421000981354	70.19148936170212	121.99729364005414	77.64179104477611	119.66279069767441	133.6523842432619	131.30142405063293	160.28949024543738	146.31788079470198	331.83973288814695	130.71611253196932	138.98288508557457	130.61290322580643	148.30011198208285	137.0223642172524	151.93236714975845	155.67791411042944	124.40306992609436	237.69131832797427	220.10743134087238	176.75174553917765	185.79278350515466	148.2277019937041	139.8709677419355	172.68235294117648	128.54232804232805	148.39087947882737	154.25237449118046	102.23820224719101
0.1	166.23160296634342	137.9157212317666	146.2025641025641	152.48798521256933	143.33333333333334	133.36300174520068	138.64216216216218	139.370110330993	142.92405063291142	152.8320355951057	181.72481203007519	nan	185.49617151607964	181.43058568329718	139.10996563573883	135.94982578397213	132.11350148367953	178.50454545454545	142.21729323308273	130.95841330774152	198.58536585365852	120.15923984272608	135.45025013896608	123.88175675675677	163.55626666666666	152.92424242424244	1013.5197853789402	137.53278008298753	199.7317073170732	308.23170731707324	276.21813224267214	197.46534653465346	231.73021108179424	130.38998682476944	138.1823329558324	131.04109589041096	169.28420310296192	126.83101991550996	124.492	118.89626556016597	109.67326732673268	135.32367549668874	118.57276995305165	115.87120515179393	126.91304347826087	121.52012072434609	117.12363330529858	127.2604097818903	139.0281690140845	126.41726618705036	162.3862433862434	147.37844408427878	148.45297215951842	142.63208300079808	143.28115653040877	188.2396694214876	165.9821073558648	150.29462989840349	138.53473344103392	113.14962325080731	236.92538097740413	137.2930077691454	78.14074650077761	92.28716904276988	93.11875	120.90860215053763	86.73920265780731	102.04808635917567	87.56737588652481	169.89986468200271	80.6268656716418	131.3657587548638	150.5148583275743	145.7001582278481	190.7488986784141	166.8476821192053	440.68312757201653	151.1764705882353	158.29828850855748	145.3306451612903	173.38409854423293	156.83067092651757	176.40901771336556	184.51226993865032	141.23081296191017	308.30225080385856	282.3045234248788	213.5244375484872	230.9474226804124	172.57187827911858	157.68302945301542	208.7607843137255	144.94444444444446	169.45494028230183	187.90230664857532	113.3913043478261
0.12	194.41186537364518	154.77147487844408	166.33076923076922	174.29944547134934	162.0	149.76788830715532	156.1556756756757	156.42126379137412	161.48945147679325	175.96885428253614	230.07035175879395	nan	215.40939254721795	209.95553145336225	150.79381443298968	148.91149825783972	144.1313056379822	205.4742424242424	155.60075187969926	141.96289187460013	232.73170731707316	127.891874180865	149.79155086158977	135.70608108108107	184.46293333333332	170.96176046176046	1316.6720321931589	150.6448132780083	234.1829268292683	377.74390243902445	334.56850715746424	228.48844884488452	275.1339050131926	140.4945515507125	150.4133635334088	142.0	215.96967559943582	140.1080265540133	134.22533333333334	127.19502074688796	116.93399339933993	147.07864238410596	126.08450704225352	122.4949402023919	138.2173913043478	128.96478873239437	124.18839360807401	135.9847984137475	151.70422535211264	137.92805755395682	181.85714285714283	159.53403565640195	161.84650112866817	154.60335195530726	154.44765702891326	214.13498622589532	184.86878727634195	166.88684790595153	149.51884057971014	119.60818083961249	282.74776668418286	149.39067702552717	92.29315707620529	100.97691785471825	112.49375	132.3064516129032	95.54318936877075	115.00196270853779	104.9432624113475	217.8024357239513	90.62882096069869	145.99610894941634	167.37733241188664	160.09889240506328	221.2083071113908	187.37748344370857	536.1563786008231	171.37431048069345	177.61369193154036	160.04838709677418	198.46808510638297	356.62780269058294	196.76470588235293	214.7535310734463	158.05855599772596	378.9131832797427	344.50161550888527	250.29712955779675	276.1020618556701	196.91605456453303	175.49509116409536	244.8392156862745	160.64320785597383	190.51900108577632	219.98997995991982	126.43478260869564
0.14	222.59212778094695	171.62722852512155	186.45897435897436	196.11090573012942	181.24344569288388	166.17277486910996	174.5408163265306	173.9116465863454	181.4980940279543	199.82439024390249	282.3316582914573	nan	245.3226135783563	238.48047722342733	162.47766323024055	161.87317073170732	156.14910979228486	232.4439393939394	168.9842105263158	152.96737044145874	266.8780487804878	135.62450851900394	164.13285158421345	147.53040540540542	205.3696	188.99927849927852	1619.8242790073778	163.75684647302904	268.63414634146346	447.25609756097566	392.91888207225634	259.51155115511557	318.5375989445911	150.88851634534788	161.99233716475098	152.95890410958904	262.65514809590974	153.3850331925166	143.95866666666666	135.85031559963932	124.1947194719472	158.8336092715232	135.29282700421942	129.11867525298987	149.01384083044985	136.60644614079732	131.25315391084945	144.70918704560478	164.38028169014083	149.43884892086334	201.82911392405063	171.68962722852513	175.2400300978179	166.57462090981647	165.5475982532751	240.03030303030306	203.6734006734007	183.93313739897138	160.53333333333333	126.68834688346884	328.57015239096165	161.488346281909	106.44556765163298	109.66666666666667	131.86875000000003	144.4700647249191	104.34717607973423	127.95583905789991	122.31914893617022	265.7050067658999	101.63318777292577	160.62645914396887	184.23980649619904	174.49762658227849	251.66771554436752	207.90728476821192	631.6296296296298	188.55319148936172	194.4785772029103	174.0710743801653	219.9564541213064	590.7085201793725	216.83391003460207	245.40324858757066	174.8862990335418	449.52411575562707	406.6987075928918	287.0698215671064	319.6434034416826	220.3612334801762	193.30715287517532	280.91764705882355	174.3911620294599	209.4033771106942	244.17167668670675	139.47826086956525
0.16	250.77239018824872	188.48298217179902	206.58717948717947	219.64835164835168	202.21722846441946	182.62293274531422	193.81519274376416	193.99196787148594	203.861499364676	224.45853658536586	334.5929648241206	nan	275.23583460949465	267.0054229934924	174.00174520069808	174.8348432055749	168.16691394658756	259.41363636363633	182.36766917293232	163.97184900831735	301.0243902439024	143.35714285714286	178.4741523068371	159.35472972972974	226.2762666666667	207.03679653679654	1922.9765258215962	176.86887966804977	303.0853658536586	511.8870547350131	451.26925698704844	290.53465346534654	361.94129287598946	161.28248113998325	173.18007662835248	163.91780821917808	309.34062059238363	166.6620398310199	153.692	146.12984670874664	131.45544554455446	170.58857615894038	145.0818565400844	138.5457317073171	159.0484429065744	147.63273960983886	138.52574257425744	153.433575677462	177.05633802816902	160.9496402877698	222.84177215189874	183.8452188006483	188.63355906696762	178.5458898643256	175.50393013100438	265.6950226244344	220.50841750841752	200.97942689199118	171.54782608695652	135.08943089430895	374.39253809774044	173.58601553829078	120.59797822706065	118.35641547861508	163.9224137931035	158.22411003236246	113.15116279069767	146.2428393524284	140.23076923076923	313.60757780784843	112.63755458515284	175.2568093385214	201.1022805805114	188.8963607594937	282.12712397734424	228.43708609271525	727.1028806584362	205.73207249802994	211.29345189975749	182.99669421487604	239.2410575427683	824.7892376681616	236.9031141868512	276.05296610169495	191.7140420693576	520.1350482315113	468.89579967689815	323.84251357641585	356.92829827915875	239.568281938326	211.11921458625525	316.99607843137255	188.139116202946	224.41275797373356	268.3533734134936	152.52173913043478
0.18	278.95265259555043	209.0111420612813	226.71538461538458	243.8241758241758	223.19101123595505	199.16097023153253	213.08956916099774	214.0722891566265	226.2249047013977	249.09268292682927	386.8542713567839	nan	305.1490556406329	295.5303687635575	184.82198952879583	187.79651567944248	180.2804642166344	289.6612903225806	196.29469901168014	174.97632757517593	335.1707317073171	151.08977719528178	192.8154530294608	171.17905405405406	247.1829333333333	229.22916666666666	2226.1287726358146	188.52562988705472	336.278748850046	563.3205907906168	509.6196319018405	321.5577557755775	405.3449868073879	171.6764459346186	184.367816091954	174.8767123287671	356.0260930888575	179.93904646952325	163.42533333333333	156.40937781785394	140.70588235294116	185.90420332355816	154.87088607594936	150.1310975609756	169.08304498269896	158.6590330788804	150.20891089108912	162.15796430931923	189.73239436619718	172.46043165467626	243.85443037974682	194.3535811423391	200.81986368062314	188.81710914454277	185.46026200873362	291.2153846153846	237.34343434343435	218.02571638501104	182.56231884057968	143.49051490514904	420.2149238045192	185.6836847946726	134.667215815486	127.04616429056348	197.54310344827587	171.97815533980582	122.9589552238806	166.16811955168117	170.99999999999997	361.510148849797	123.64192139737992	189.88715953307394	217.96475466482374	202.39759036144576	312.5865324103209	248.96688741721852	822.5761316872428	222.9109535066982	228.10832659660468	191.92231404958676	258.52566096423016	1058.869955156951	256.97231833910035	306.7026836158192	208.54178510517337	590.7459807073955	537.9784524975513	362.97225725094574	394.2131931166348	258.77533039647574	228.93127629733522	343.41491395793497	201.8870703764321	239.42213883677297	292.53507014028054	165.56521739130434
