od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.04	101.49999999999999	107.0	102.66666666666666	104.14285714285715	98.75	98.75	93.55555555555556	105.0	95.0	92.0	nan	nan	90.0	nan	nan	nan	nan	nan	nan	84.0	nan	nan	90.0	nan	nan	106.0	137.0	106.0	104.0	98.5	93.88235294117646	93.0	85.55555555555556	87.27272727272728	86.0	89.0	109.0	98.0	nan	100.0	nan	nan	nan	91.4090909090909	89.57142857142857	nan	85.0	87.8	nan	nan	nan	nan	nan	97.00000000000003	nan	nan	nan	nan	nan	nan	108.5	114.99999999999999	101.33333333333334	100.25000000000003	97.0	102.33333333333331	103.39999999999999	100.55555555555556	102.14285714285714	97.71428571428572	96.0	90.85714285714286	nan	nan	106.0	nan	nan	nan	94.33333333333331	nan	79.66666666666666	nan	nan	nan	112.0	nan	nan	121.33333333333337	101.50000000000003	nan	nan	nan	90.66666666666669	94.0	89.72222222222221	86.0
0.06	108.21875	143.47916666666666	114.40789473684211	1393.7333333333333	112.5945945945946	106.08602150537634	101.11688311688312	159.28	98.5945945945946	104.91025641025641	nan	nan	105.54054054054055	90.53424657534246	83.25	93.63636363636363	86.1904761904762	153.44594594594594	85.25373134328359	89.31764705882352	121.92771084337349	72.85714285714286	97.34883720930232	nan	110.0	111.0	592.7857142857142	126.09890109890111	116.18181818181819	133.02298850574712	352.0126582278481	110.9041095890411	97.53932584269663	100.0	94.54794520547945	91.30136986301369	151.23529411764704	108.82417582417582	95.4	115.63888888888889	413.2537313432835	120.4	127.71830985915493	101.42857142857143	103.0	91.87878787878788	103.92857142857142	96.05128205128204	91.27692307692307	98.57142857142857	79.66666666666667	78.6086956521739	95.11428571428571	122.2528735632184	90.70000000000002	113.48484848484847	158.89473684210526	95.0	89.35211267605634	76.30666666666667	107.59302325581396	291.5569620253164	115.12	117.41176470588235	127.83950617283949	145.75581395348837	147.88888888888889	110.77669902912622	132.3815789473684	169.6860465116279	126.62962962962962	96.35135135135135	131.73239436619718	125.40789473684211	108.19565217391305	157.57894736842104	144.35897435897436	100.11764705882354	106.0	82.05263157894737	145.1153846153846	77.0	83.15873015873017	330.0615384615385	105.88636363636364	188.09375	107.0	359.91011235955057	113.61842105263158	102.95402298850574	522.25	100.01265822784809	93.0	166.41176470588235	107.90666666666667	135.6144578313253
0.08	134.90853658536585	190.2797202797203	135.4478527607362	2705.1744966442952	142.0700636942675	132.59016393442624	125.7843137254902	229.59124087591238	127.92253521126761	131.88888888888889	nan	nan	117.58450704225353	93.625	75.38461538461539	90.45762711864407	74.9344262295082	207.18320610687022	78.0	96.74683544303798	144.2111801242236	74.29577464788733	104.04294478527608	nan	119.03225806451613	126.7872340425532	992.5470085470085	149.12121212121212	132.5	162.8219178082192	556.3986928104575	122.30327868852459	106.56424581005587	112.0	106.4406779661017	105.16030534351145	200.2436974789916	109.94957983193277	92.91666666666666	122.30508474576271	740.4793388429753	129.94444444444446	150.21518987341773	100.8	110.9	92.46261682242991	123.58333333333334	107.33870967741936	86.688	106.59615384615384	72.69465648854961	73.57142857142857	94.46376811594203	136.79558011049727	101.63888888888889	124.69047619047619	227.34513274336285	105.43589743589743	103.15384615384616	75.21641791044776	126.6887417218543	477.18248175182487	131.95172413793102	134.2012578616352	164.24836601307192	178.15254237288136	188.775	130.1788617886179	163.0	249.48	172.73446327683615	109.83116883116884	162.16923076923078	147.79289940828403	116.552	206.52348993288592	176.4575163398693	103.67153284671534	116.25362318840578	79.1042944785276	191.41176470588235	78.71666666666667	86.40983606557377	611.6	125.74193548387098	284.7076923076923	117.76100628930817	562.6129032258063	132.73333333333332	108.0	959.6369047619047	112.73684210526316	108.5090909090909	238.97590361445782	150.17142857142858	200.77358490566039
0.1	153.44	236.12448132780082	160.26041666666669	3728.649289099526	163.318407960199	156.72000000000003	145.77	300.4857142857143	144.7683615819209	152.9	nan	nan	139.7967032967033	113.21719457013575	85.62895927601811	103.44444444444444	85.25236593059937	265.8571428571429	89.48444444444445	114.43295019157088	174.54285714285714	90.26431718061674	124.07924528301888	nan	146.52380952380952	151.43298969072166	1382.2864864864866	179.01993355481727	160.88617886178864	197.6492537313433	716.6173633440515	145.5263157894737	122.60586319218241	131.13875598086125	122.13256484149858	120.3125	258.344	133.35294117647058	105.74666666666667	139.73684210526318	1032.1490196078432	140.88785046728972	171.87979539641944	110.07692307692308	129.45454545454547	102.74299065420561	149.3109756097561	130.65822784810126	99.55504587155964	128.75829383886258	86.87	81.4297520661157	106.86547085201795	161.15030674846625	115.29464285714286	142.92070484581498	278.9652996845426	123.80060422960726	126.18095238095239	86.94999999999999	158.8390243902439	659.695	159.9724770642202	163.18556701030928	200.65660377358495	213.1013071895425	228.6330275229358	147.84688995215313	191.15384615384616	333.53146853146853	207.8658536585366	129.41304347826087	206.90625	188.10426540284362	142.84297520661156	259.16883116883116	208.72413793103448	121.82211538461539	140.10810810810813	91.7378640776699	238.09756097560978	93.0	105.05128205128206	729.1530612244899	153.6701030927835	381.1832460732984	149.1818181818182	740.7299270072994	160.47906976744187	129.9083969465649	1301.4062500000002	142.6268656716418	132.92592592592592	320.1502590673575	187.25	264.5657142857143
0.12	172.23703703703703	277.0633802816901	186.0358565737052	4746.912751677852	185.0679245283019	172.72	163.64044943820224	360.5728813559322	156.26168224299064	173.5164835164835	nan	nan	155.50649350649348	133.78743961352654	100.98	116.52835820895521	97.87066246056781	320.05426356589146	102.57181571815718	131.67132867132867	200.24208566108004	102.93333333333334	141.4377358490566	nan	168.70212765957447	172.6030534351145	1714.129909365559	204.26910299003322	181.76923076923077	236.56370656370657	854.2379421221865	164.48	140.1954397394137	145.25706940874036	136.54178674351584	133.23907455012852	307.144	152.1764705882353	120.53846153846152	156.68831168831167	1307.6487119437938	157.71028037383178	191.82864450127875	121.25547445255475	143.44751381215468	116.39285714285714	172.4817073170732	147.4847870182556	114.76344086021506	153.6024096385542	102.01	93.82945736434108	123.49090909090908	181.39570552147237	129.30612244897958	163.42622950819674	338.2712933753943	143.13595166163142	148.3442136498516	97.1304347826087	179.34841628959273	855.2240663900416	181.97865853658539	179.68041237113403	234.92592592592592	247.74183006535947	261.6016713091922	168.9189189189189	218.84615384615384	403.46153846153845	230.4268292682927	145.7227722772277	253.96638655462183	222.76734693877552	156.89256198347107	320.73876404494376	247.1089918256131	144.48355263157893	161.1904761904762	105.33009708737863	284.8095238095238	106.83647798742138	119.10334346504558	858.6253521126762	179.41379310344826	486.63291139240505	170.2624113475177	893.2846715328467	186.74590163934425	148.99236641221373	1702.8085714285714	169.48787061994608	147.48507462686567	398.15384615384613	216.46666666666664	329.3404255319149
0.14	193.61038961038963	331.9929577464789	212.6544850498339	5706.644295302014	209.4	196.2857142857143	184.4	422.68421052631584	168.19010416666666	195.90000000000003	nan	nan	168.63157894736844	150.21256038647346	114.12285714285716	128.89788732394368	109.96575342465755	370.18346253229976	114.49593495934961	142.86013986013987	224.45065176908753	111.31428571428572	157.6845965770171	nan	191.52219873150105	191.61575178997617	2024.8853383458645	226.1290322580645	197.15384615384616	253.93822393822393	1012.8780487804879	180.47331786542924	154.0461893764434	159.0985401459854	146.2857142857143	147.6349614395887	351.4575835475579	169.97409326424872	135.92307692307693	172.2727272727273	1578.8430913348948	171.79883945841394	212.81744421906694	132.93430656934308	155.6022099447514	129.63157894736844	189.8359908883827	158.03245436105476	129.97409326424872	172.27710843373495	115.51356993736952	103.6485788113695	138.03636363636366	198.67924528301887	144.466472303207	184.03512880562062	397.990291262136	160.84513274336285	169.7847358121331	109.02974828375287	204.57454545454547	1081.703296703297	194.78353658536585	192.28118393234672	260.85185185185185	277.30508474576277	292.24233983286905	189.81073446327684	242.90243902439025	463.8526970954357	252.77777777777783	156.61386138613864	301.55205047318617	260.45674740484435	172.8483146067416	380.85112359550567	279.2615803814714	168.5313225058005	180.23809523809524	117.74057649667407	332.4285714285715	119.24430641821947	131.96828752642708	994.1150442477878	211.56148491879352	583.1662269129288	192.95744680851064	1066.0500000000002	210.90972222222223	163.85496183206106	2053.094285714286	185.1212938005391	160.9179104477612	449.737556561086	259.3921568627451	391.75177304964546
0.16	216.98701298701297	383.5595567867036	236.57475083056477	6543.467236467236	232.25714285714287	218.47058823529412	204.4	499.8771929824561	186.41927083333331	225.90000000000003	nan	nan	182.8192219679634	167.07100591715977	125.57773512476007	139.46126760563382	121.38127853881278	423.2315573770492	125.9304347826087	154.04895104895104	248.659217877095	119.6952380952381	173.82151589242054	nan	208.4355179704017	207.3675417661098	2289.9229323308273	245.48387096774195	210.92397660818713	271.3127413127413	1173.8536585365853	196.25058004640374	166.0554272517321	168.95255474452557	154.5563909774436	160.58780036968577	395.15938303341903	187.59067357512956	147.7133220910624	186.9813278008299	1853.6796116504856	184.95164410058027	235.1298174442191	144.9375	168.8	140.15789473684208	205.78132118451026	168.82242990654206	145.51813471502592	189.39845261121857	127.20459290187893	114.02335456475583	153.46	213.77358490566036	160.90969162995594	204.7799227799228	458.18446601941747	177.65929203539824	192.09393346379647	120.92906178489702	229.3018181818182	1325.8526315789472	206.01845018450186	204.5433403805497	287.8683602771363	304.4237288135593	320.70387243735763	209.58474576271186	266.3170731707317	522.3589211618257	275.0	168.01128668171557	348.87066246056787	299.2110726643599	188.7622504537205	444.1044776119403	311.6072186836518	188.94895591647332	195.6367713004484	129.7139689578714	377.3563474387528	129.59627329192546	143.384778012685	1152.0796460176991	232.90719257540604	674.4591029023746	208.5607843137255	1246.7058823529412	228.03935185185185	177.59541984732823	2372.159709618875	202.38545454545456	173.9028006589786	501.1161103047896	307.235294117647	442.33333333333337
0.18	244.58823529411762	433.9750692520775	268.3354037267081	7356.648484848484	263.0731707317073	236.11764705882354	229.03514376996804	573.9285714285713	204.0351648351648	253.04347826086956	nan	nan	197.00686498855833	184.42800788954634	136.32629558541265	150.02464788732394	132.7816593886463	479.3790983606557	137.23478260869564	165.55769230769232	272.9888268156425	129.37678855325913	190.28440366972475	nan	225.3488372093023	222.34990439770553	2554.9605263157896	264.83870967741933	223.39961013645222	291.22994652406413	1355.270531400966	212.0278422273782	179.31884057971016	178.8065693430657	163.46938775510205	169.82994454713491	431.90467289719624	199.86003372681282	157.15682967959526	201.50414937759334	2132.967637540453	198.57545271629778	257.4421906693712	157.4375	182.13333333333333	150.68421052631578	225.22566371681415	183.77570093457945	159.42268041237114	205.6460348162476	138.89561586638828	125.06369426751593	170.79333333333332	228.86792452830187	178.09030837004403	225.62934362934362	526.7073170731708	194.98676748582227	214.40313111545987	130.88671875	257.3013698630137	1582.6947368421052	217.08856088560887	216.7018867924528	317.4295612009238	330.7253886010363	348.9498861047836	229.40694789081886	289.76739562624255	588.7619893428064	298.14350797266513	181.10383747178327	391.0758928571429	330.72771084337353	199.65154264972776	509.77611940298505	344.3036093418259	209.36658932714613	210.88340807174885	141.36290322580643	420.56347438752783	139.94824016563146	154.8012684989429	1310.0442477876106	254.25290023201856	757.1061643835617	223.4627450980392	1427.5882352941176	245.22634508348793	191.12359550561797	2653.8294010889294	220.9309090909091	184.77594728171334	548.1407837445573	358.7337883959044	492.67346938775506
